"Year","County.Code","County","CO","NO2","SO2","O3","PM2.5","PM10","Spending.Per.Capita.Mean","Median.Household.Income"
2011,5119,"Pulaski County, AR",1.4,10,2,0.08,12.5,23,5855.76,49892.8196593894
2011,6013,"Contra Costa County, CA",1,10,3,0.075,7.9,18,7415.83,84379.5349294439
2011,6025,"Imperial County, CA",5.5,14,0,0.083,12.7,40,4393.17,41936.8823133662
2011,6037,"Los Angeles County, CA",3.8,25,0,0.101,13.3,33,5618.16,59372.887288415
2011,6065,"Riverside County, CA",1.6,15,0,0.106,15.3,50,6144.55,59659.3010328719
2011,6067,"Sacramento County, CA",2.4,13,0,0.094,12.7,25,5393,59369.477600981
2011,6071,"San Bernardino County, CA",1.5,21,2,0.113,13.3,32,5011.3,57984.007940295
2011,6073,"San Diego County, CA",2.2,20,0,0.082,10.9,45,6457.6,67386.7893208164
2011,6083,"Santa Barbara County, CA",1.8,9,1,0.066,11,21,5834.16,67618.6480663291
2011,6085,"Santa Clara County, CA",2,15,1,0.068,9.9,18,5817.97,96313.4409484787
2011,6095,"Solano County, CA",2.4,10,1,0.069,10,13,6731.38,71705.726737229
2011,8001,"Adams County, CO",1.6,18,1,0.075,7.6,28,5648.75,59588.8341592357
2011,8031,"Denver County, CO",1.8,24,2,0.074,7.5,33,5648.75,54082.1889533096
2011,9005,"Litchfield County, CT",0.6,2,1,0.07,5.7,8,7526.21,78034.1066147514
2011,9009,"New Haven County, CT",1.5,15,2,0.092,10.1,16,8092.03,67040.1377650254
2011,11001,"District of Columbia",2.4,16,4,0.085,10.4,18,11036.36,70565.7545717916
2011,13089,"DeKalb County, GA",1.5,13,1,0.08,12.5,21,5031.12,54888.011750214
2011,15003,"Honolulu County, HI",1,3,2,0.05,8.9,18,5831.96,74432.3401219589
2011,18089,"Lake County, IN",2.3,12,3,0.072,12.1,30,6962.7,54717.5273785135
2011,18097,"Marion County, IN",2.3,11,3,0.077,13.2,25,6055.01,45413.6269335783
2011,18163,"Vanderburgh County, IN",5.8,8,2,0.077,12.3,18,6202.03,49520.0271666043
