"Year","County.Code","County","CO","NO2","SO2","O3","PM2.5","PM10","Spending.Per.Capita.Mean","Median.Household.Income"
2014,42021,"Cambria County, PA",1.2,7,4,0.06,11.4,19,6339.57,46116.0574560147
2014,42125,"Washington County, PA",0.7,9,2,0.065,13.4,14,7148.25,60255.5216686367
2014,44007,"Providence County, RI",1.7,10,1,0.064,7,12,6791.35,51056.7164931143
2014,46099,"Minnehaha County, SD",0.5,5,1,0.066,7.8,21,7319.78,59511.4530180222
2014,47037,"Davidson County, TN",1.2,10,1,0.071,10.5,18,6228.71,52047.0081514795
2014,48113,"Dallas County, TX",1.1,10,0,0.07,10.7,27,5175.58,54123.7048352702
2014,48141,"El Paso County, TX",2.4,14,1,0.07,9.2,36,4405.61,43284.4928668835
2014,48201,"Harris County, TX",2,13,1,0.07,11.5,42,5898.63,58564.3583785607
2014,48453,"Travis County, TX",0.3,5,0,0.063,10,26,4922.75,66716.7157711433
2014,49035,"Salt Lake County, UT",1.7,14,1,0.072,7.7,18,4757.05,67534.219353894
2014,51650,"Hampton City, VA",0.9,4,1,0.061,7.6,10,5592.06,51420.6513773772
2014,55079,"Milwaukee County, WI",0.7,16,1,0.069,10.5,18,7796.2,46378.4793458541
2014,56021,"Laramie County, WY",0.3,4,0,0.065,3.8,11,6909.14,61763.0976283725
2015,1073,"Jefferson County, AL",1.9,13,1,0.073,11.8,24,7332.48,52222.6415316904
2015,2090,"Fairbanks North Star Borough, AK",2.4,13,7,0.045,18.4,21,6833.96,76455.5004524992
2015,4013,"Maricopa County, AZ",2.6,22,1,0.076,9,36,5833.94,60422.5077079562
2015,4019,"Pima County, AZ",1.4,9,0,0.066,5.1,26,6100.1,50811.7726868396
2015,5119,"Pulaski County, AR",1,9,1,0.065,10.9,21,6424.46,50127.9111825312
2015,6013,"Contra Costa County, CA",1,9,2,0.074,8.9,18,7941.08,89566.4414380966
2015,6019,"Fresno County, CA",1.7,11,1,0.093,16,39,5498.07,50273.5283798209
2015,6023,"Humboldt County, CA",0.9,3,0,0.047,5.9,18,6438.62,43942.9555583917
2015,6025,"Imperial County, CA",3.9,11,1,0.077,11.6,46,5437.66,43064.9377910305
2015,6037,"Los Angeles County, CA",3,22,0,0.1,12.6,37,6487.85,63688.6475108677
2015,6059,"Orange County, CA",2.3,25,0,0.075,7.1,26,7379.9,84136.5379480515
2015,6065,"Riverside County, CA",1.5,14,0,0.097,13.4,51,7332.85,62448.2047191411
2015,6067,"Sacramento County, CA",1.9,11,2,0.081,10.4,22,6184.05,63354.2672800545
2015,6071,"San Bernardino County, CA",4.4,30,0,0.107,14.5,31,5914.92,57735.6007564858
2015,6083,"Santa Barbara County, CA",0.8,8,0,0.067,8.3,22,6577.81,68007.545717888
2015,6085,"Santa Clara County, CA",1.8,18,0,0.072,10.6,21,6728.94,110227.903764639
2015,6095,"Solano County, CA",1.8,8,1,0.068,9.5,12,6756.98,72487.1621648799
2015,8031,"Denver County, CO",2,27,1,0.07,9.9,27,6388.15,62438.4969059885
2015,9003,"Hartford County, CT",1.3,15,0,0.075,9.9,19,8140.51,74707.0154391176
2015,9005,"Litchfield County, CT",0.5,2,0,0.076,5.3,8,8220.08,76418.8264917003
2015,9009,"New Haven County, CT",1.3,14,1,0.081,9.3,15,8559.55,66615.0138534367
2015,11001,"District of Columbia",2,13,1,0.072,10,17,11504.54,78865.1954061664
2015,12011,"Broward County, FL",1.1,5,0,0.063,6.5,11,7351.67,57841.308055259
2015,12057,"Hillsborough County, FL",0.7,12,2,0.068,9.8,19,5821.02,55776.7797914636
2015,12095,"Orange County, FL",1.2,4,0,0.061,6.3,13,5322.63,54571.93231463
2015,12103,"Pinellas County, FL",0.6,4,0,0.059,6.8,20,7588.97,51333.8373052707
2015,13089,"DeKalb County, GA",1.2,16,0,0.071,11.8,17,5748.24,58240.4070404233
2015,13121,"Fulton County, GA",1.8,20,1,0.077,10.5,16,6415.24,64622.7548653331
2015,15003,"Honolulu County, HI",1.6,4,1,0.049,5.4,21,6626.13,82563.8722173234
2015,17031,"Cook County, IL",0.8,18,1,0.07,11.1,23,6525.61,61311.311934376
2015,18089,"Lake County, IN",2.1,10,1,0.07,10.6,22,8009.09,54593.505232747
2015,18097,"Marion County, IN",2.5,15,1,0.069,12,28,6762.26,44663.491023499
2015,18163,"Vanderburgh County, IN",1.2,8,1,0.072,10.6,16,7016.03,47269.4995320308
2015,19153,"Polk County, IA",0.7,8,0,0.058,7.6,19,7689.92,65189.043965904
2015,19163,"Scott County, IA",0.8,6,1,0.063,9.9,42,7148.12,62734.0458841911
2015,20209,"Wyandotte County, KS",1.2,11,2,0.063,8.8,23,5632.57,45029.1519855819
2015,21111,"Jefferson County, KY",1.4,16,1,0.076,11,17,9246.8,55259.029756656
2015,22033,"East Baton Rouge Parish, LA",1.2,9,1,0.069,12.2,26,7613.13,54351.8885498368
2015,23003,"Aroostook County, ME",0.4,2,0,0.055,8.9,14,6867.75,40022.0776906298
2015,24033,"Prince George's County, MD",0.9,8,1,0.072,11.2,13,6604.52,82371.8732460822
2015,25013,"Hampden County, MA",1.2,13,1,0.07,7.6,14,8152.27,55458.5792492381
2015,25025,"Suffolk County, MA",0.9,17,1,0.056,8.8,14,7085,60975.8530576569
2015,25027,"Worcester County, MA",1,13,1,0.063,6.8,15,8964.6,70781.8229877322
2015,26163,"Wayne County, MI",1.7,18,2,0.07,11.7,26,7052.77,44855.4899947402
2015,27003,"Anoka County, MN",0.9,7,1,0.064,6.6,15,6842.24,79038.8573970081
2015,27053,"Hennepin County, MN",1.3,14,1,0.053,8.3,35,7890.02,74320.8602048236
2015,29510,"St. Louis City, MO",1.4,13,2,0.063,11.1,20,6027.39,40932.4548351665
2015,32003,"Clark County, NV",2.6,15,1,0.073,9.8,25,5725.21,55684.0162435606
2015,33015,"Rockingham County, NH",0.4,3,1,0.065,6.6,12,8864.91,93953.2943371854
2015,34013,"Essex County, NJ",1.9,17,0,0.071,8.9,16,6246.65,56311.7881607648
2015,34017,"Hudson County, NJ",1.6,17,0,0.077,11.4,20,5502.96,64775.9225839637
2015,35001,"Bernalillo County, NM",1.4,11,1,0.068,6.7,32,6413.76,51634.7795130026
2015,37119,"Mecklenburg County, NC",1.2,12,0,0.073,8.9,18,6198.69,61514.0973646757
2015,37183,"Wake County, NC",1.2,10,0,0.065,7.8,13,6994.5,76183.6816842252
2015,38017,"Cass County, ND",0.7,4,0,0.057,6.9,17,7624.84,60345.923848641
2015,39035,"Cuyahoga County, OH",2.9,13,3,0.072,13.3,42,7815.28,49084.860591575
2015,39061,"Hamilton County, OH",1.3,22,1,0.072,11.2,24,7105.33,55086.4464117201
2015,40143,"Tulsa County, OK",1.1,8,1,0.066,8.7,19,6968.59,55405.7255998515
2015,41051,"Multnomah County, OR",1.9,9,0,0.057,7.2,16,5972.02,63385.5480113241
2015,42003,"Allegheny County, PA",2.8,13,5,0.074,13.8,23,7719.27,58691.2810290682
2015,42021,"Cambria County, PA",1.1,9,2,0.065,11.7,17,6614.39,47229.5896335143
2015,42101,"Philadelphia County, PA",1.6,18,2,0.079,11.2,24,7242.84,44450.9977800467
2015,42125,"Washington County, PA",1,9,2,0.072,11,17,7472.06,62153.7343868443
2015,42133,"York County, PA",0.9,10,2,0.074,10.6,16,8224.94,63129.9089316378
2015,44007,"Providence County, RI",1.8,22,0,0.071,9.8,20,6918.85,54324.9224021906
2015,46099,"Minnehaha County, SD",0.6,5,0,0.06,8.8,22,7598.86,59978.1055947464
2015,47037,"Davidson County, TN",1.4,15,0,0.067,9.8,20,6257.23,56088.5084582541
2015,48141,"El Paso County, TX",2.8,14,1,0.07,8.6,25,4483.42,46490.7171880076
2015,48201,"Harris County, TX",1.7,13,0,0.089,11.7,41,6124.64,61126.8634844758
2015,49035,"Salt Lake County, UT",1.7,16,0,0.081,8.7,16,4974.62,70704.1604825111
2015,51087,"Henrico County, VA",1.1,8,0,0.064,8,13,8005.29,70677.1943348649
2015,51650,"Hampton City, VA",0.7,4,1,0.065,7.2,10,5861.2,54138.3166604786
2015,55079,"Milwaukee County, WI",0.7,15,1,0.068,9.6,14,7864.84,49515.2403080088
2015,56021,"Laramie County, WY",0.5,4,0,0.063,4.7,12,7040.33,63798.6693932643
2016,1073,"Jefferson County, AL",1.5,14,2,0.07,10.8,24,7445.8,53376.4790013215
2016,2090,"Fairbanks North Star Borough, AK",2,13,6,0.036,13.7,20,6801.43,78214.9858035489
2016,4013,"Maricopa County, AZ",2.4,31,1,0.075,12.9,46,6119.91,62572.4147258103
2016,4019,"Pima County, AZ",1.2,8,0,0.069,5.7,45,6575.55,50750.7426917113
2016,5119,"Pulaski County, AR",0.8,8,1,0.065,10.7,20,6734.5,51093.7394834738
2016,6013,"Contra Costa County, CA",0.9,8,2,0.069,8.1,14,8099.01,96848.6593386447
2016,6019,"Fresno County, CA",1.7,21,0,0.093,13.6,38,5588.03,51474.0185352104
2016,6023,"Humboldt County, CA",0.9,3,0,0.049,6.1,15,6581.15,45978.6134150161
2016,6025,"Imperial County, CA",3.1,11,1,0.074,12.5,55,5556.11,46152.242225753
2016,6037,"Los Angeles County, CA",3.6,24,1,0.1,14.7,34,6759.35,65305.7369856317
2016,6059,"Orange County, CA",2.1,23,0,0.079,12.9,27,7795.54,86965.6648232032
2016,6065,"Riverside County, CA",1.4,15,0,0.097,14,52,7401.82,63860.2505060613
2016,6071,"San Bernardino County, CA",1.6,31,1,0.116,16.2,39,6060.67,59858.2661996899
2016,6083,"Santa Barbara County, CA",5.7,8,1,0.064,7,24,6787.6,70687.1649110478
2016,6085,"Santa Clara County, CA",1.6,16,0,0.068,9.1,17,7208.02,118070.786923377
2016,6095,"Solano County, CA",1.8,7,1,0.067,8.5,11,7060.19,77973.1837174307
2016,8031,"Denver County, CO",2.1,29,1,0.07,9.5,29,6625.4,65018.1309801166
2016,9003,"Hartford County, CT",1.5,16,0,0.072,7.5,16,8204.89,73862.5482534202
2016,9009,"New Haven County, CT",1.2,14,0,0.08,7.4,13,8678.06,70316.4727261616
2016,12011,"Broward County, FL",1.5,5,0,0.061,6.4,13,7393.35,57579.7875115535
2016,12057,"Hillsborough County, FL",0.8,10,1,0.07,7.7,20,5862.84,58063.39168379
2016,12086,"Miami-Dade County, FL",1,8,0,0.062,8.1,24,5076.91,48878.1080335796
2016,12103,"Pinellas County, FL",0.9,4,1,0.063,7,18,7719.44,53232.6759985639
2016,13089,"DeKalb County, GA",1.2,17,0,0.074,10.3,17,5962.26,59708.0719523653
2016,13121,"Fulton County, GA",2.2,20,1,0.075,10.8,16,6665.18,66920.5914462277
2016,15003,"Honolulu County, HI",1.2,4,1,0.048,4,20,6899.46,85229.3767158342
2016,16001,"Ada County, ID",2.5,10,1,0.065,6.5,21,6297.8,65585.886539152
2016,17031,"Cook County, IL",0.7,17,1,0.079,9.9,27,6626.33,63939.075855721
2016,18089,"Lake County, IN",1.1,8,1,0.07,9.2,21,8353.76,57095.1181318891
2016,18097,"Marion County, IN",2.5,13,0,0.073,10.4,27,7058.21,48253.896480869
2016,18163,"Vanderburgh County, IN",0.9,8,1,0.072,9.1,15,7222.05,49798.4472512279
2016,19153,"Polk County, IA",0.8,8,0,0.061,7.2,19,7671.38,68353.295436664
2016,19163,"Scott County, IA",0.5,6,0,0.066,8.3,40,7283.83,59873.1791036795
2016,20209,"Wyandotte County, KS",1,11,1,0.064,8.5,24,5642.64,46225.7415382735
2016,21111,"Jefferson County, KY",1.3,15,1,0.076,9.2,16,9322.17,55399.3079067778
2016,22033,"East Baton Rouge Parish, LA",1.1,11,1,0.068,11.4,25,7858.3,53740.7799416406
2016,23003,"Aroostook County, ME",0.4,2,0,0.052,7.4,12,6986.88,42337.7344266803
2016,24033,"Prince George's County, MD",0.8,8,1,0.073,8.6,11,6771.37,83810.5204219596
2016,25025,"Suffolk County, MA",1.2,15,0,0.058,7.7,14,7239.69,65368.5842238739
2016,25027,"Worcester County, MA",1.1,12,1,0.07,6,15,9029.84,73567.4857959103
2016,26163,"Wayne County, MI",1.5,16,2,0.074,11.3,28,7451.93,46411.0876307166
2016,27053,"Hennepin County, MN",1.4,13,1,0.056,7.8,38,8013.02,75825.7255429178
2016,28049,"Hinds County, MS",1.2,6,0,0.063,8.4,17,6933.48,45700.5942763515
2016,29510,"St. Louis City, MO",1.5,12,2,0.068,9.4,25,6008.71,42559.2975716697
2016,32003,"Clark County, NV",2.2,25,1,0.073,10.6,27,5870.57,58005.870482687
2016,32031,"Washoe County, NV",1.9,13,0,0.069,7,21,5496.15,62051.5282935996
2016,33015,"Rockingham County, NH",0.4,3,1,0.067,5.6,10,9205,87364.052401213
2016,34007,"Camden County, NJ",1.3,12,0,0.076,10,39,7650.98,70131.1266337186
2016,34013,"Essex County, NJ",2.3,15,0,0.068,8.7,15,6427.56,58457.5184320885
2016,34017,"Hudson County, NJ",1.5,20,1,0.068,9.5,17,5600.66,67275.3055196963
2016,35001,"Bernalillo County, NM",1.9,10,1,0.067,7.6,33,6650.46,53898.43064096
2016,37119,"Mecklenburg County, NC",1,11,0,0.074,9.1,18,6247.1,67317.9138168096
2016,37183,"Wake County, NC",1.5,9,0,0.069,7.9,12,7329.22,81140.0454003804
2016,38017,"Cass County, ND",0.3,4,0,0.054,5.1,14,7956.03,63604.6007233812
2016,39035,"Cuyahoga County, OH",3.9,11,2,0.07,10.6,37,7834.06,49748.3825021197
2016,39049,"Franklin County, OH",1.8,12,0,0.072,8.7,20,6917.9,59747.4846271952
2016,39061,"Hamilton County, OH",1.3,21,1,0.075,10.2,21,7138.37,56822.4250303637
2016,40109,"Oklahoma County, OK",1.1,17,0,0.068,7.6,22,6925.32,54412.9258286037
2016,40143,"Tulsa County, OK",1.6,7,1,0.064,9.5,19,7119.99,54832.6175551702
2016,41051,"Multnomah County, OR",1.2,9,0,0.055,5.6,10,6287.72,66353.9010946201
2016,42003,"Allegheny County, PA",2.6,11,4,0.072,10.6,23,7817.28,59757.0714940457
2016,42021,"Cambria County, PA",0.7,7,1,0.062,8.9,14,6794.98,46457.9567575413
2016,44007,"Providence County, RI",1.8,20,0,0.064,9.3,15,6953.77,55402.5035290613
2016,46099,"Minnehaha County, SD",0.7,4,0,0.064,6.6,18,7754.88,64172.3562824166
2016,47037,"Davidson County, TN",1.5,16,0,0.068,9.3,18,6464.34,58230.6292499599
2016,48029,"Bexar County, TX",0.7,8,1,0.071,7.9,20,5933.74,56637.0789379206
2016,48141,"El Paso County, TX",2.4,15,1,0.071,9.6,27,4739.85,44789.8419255536
2016,48201,"Harris County, TX",1.6,14,0,0.079,9.7,30,6303.87,60093.6770412411
2016,51087,"Henrico County, VA",1.2,7,0,0.066,7.2,13,8206.93,70861.8589292125
2016,55079,"Milwaukee County, WI",0.8,14,1,0.077,8.3,17,8064.8,50774.1772551236
2016,56021,"Laramie County, WY",0.2,4,0,0.061,4.5,12,7150.8,65109.7388189103
2017,1073,"Jefferson County, AL",2.1,11,4,0.064,10.3,22,7302.59,52911.9551712005
2017,2090,"Fairbanks North Star Borough, AK",2,13,6,0.048,9,15,6641.09,77432.6637335178
2017,4013,"Maricopa County, AZ",2.9,31,1,0.077,10.2,56,6195.36,64895.9169483602
2017,4019,"Pima County, AZ",1.2,8,0,0.073,6.7,49,6788.04,53601.371945326
2017,5119,"Pulaski County, AR",1.5,8,1,0.062,9.9,19,6969.19,54612.029818439
2017,6013,"Contra Costa County, CA",1.5,8,2,0.069,12,19,8068.51,99148.7706231822
2017,6019,"Fresno County, CA",1.7,21,1,0.095,15,43,5374.84,53663.9513801937
2017,6025,"Imperial County, CA",4.5,12,1,0.082,12.3,53,5234.73,45279.3500985063
2017,6037,"Los Angeles County, CA",3.5,25,1,0.111,14.9,33,6611.68,67702.6046021755
2017,6065,"Riverside County, CA",1.8,15,0,0.109,14.6,57,7312.9,66517.7673020142
2017,6071,"San Bernardino County, CA",1.6,32,1,0.114,14.6,38,5829.12,62861.0423245797
2017,6073,"San Diego County, CA",1.4,16,0,0.09,9.6,27,7787.23,79317.347713616
2017,6083,"Santa Barbara County, CA",1.6,6,0,0.068,7.6,27,6732.23,73688.3275472686
2017,6095,"Solano County, CA",1.9,8,1,0.067,11.6,17,6907.15,79195.317815624
2017,8001,"Adams County, CO",1.3,14,1,0.068,9.7,35,6818.39,68813.3895710767
2017,8031,"Denver County, CO",1.7,27,1,0.066,8.9,30,6818.39,67767.2700182054
2017,9009,"New Haven County, CT",0.9,13,0,0.086,6.7,12,8713.18,69634.2231584244
2017,11001,"District of Columbia",2.3,15,1,0.071,10.2,16,11638.53,83598.8240491461
2017,12011,"Broward County, FL",1.6,15,0,0.067,9.8,13,7292.54,59139.6519311153
2017,12057,"Hillsborough County, FL",1,10,1,0.068,8,13,5905.19,57094.3474015234
2017,12095,"Orange County, FL",1.4,4,0,0.068,7.8,13,5618.55,56343.3941831113
2017,12103,"Pinellas County, FL",1.9,8,0,0.065,7.7,20,7843.35,53701.4990411143
2017,13089,"DeKalb County, GA",1.3,15,0,0.068,9,17,6029,64139.7487770425
2017,13121,"Fulton County, GA",1.8,18,1,0.074,10.4,15,6744.24,67691.1317057831
2017,15003,"Honolulu County, HI",1,4,1,0.049,4.4,15,6986.68,84426.9585705617
2017,17031,"Cook County, IL",0.6,16,1,0.078,10.3,16,6820.26,64040.6646718354
2017,18089,"Lake County, IN",1.4,10,1,0.07,8.9,22,8622.28,57290.4296307755
2017,18097,"Marion County, IN",2.9,13,0,0.069,10.5,24,7067.53,49690.1572660963
2017,18163,"Vanderburgh County, IN",1.2,8,1,0.068,8.9,14,7302.01,49496.1610180065
2017,19153,"Polk County, IA",1,6,0,0.06,7.5,19,7920.97,68954.193299529
2017,19163,"Scott County, IA",0.7,6,0,0.062,8.1,41,7290.62,62017.2629444472
2017,22033,"East Baton Rouge Parish, LA",1,10,1,0.073,10.3,22,7900.47,56836.7287279848
2017,23003,"Aroostook County, ME",0.6,2,0,0.051,6.7,8,7186.66,44431.3987560493
2017,24033,"Prince George's County, MD",0.7,7,0,0.072,7.3,10,6776.19,84334.1324088413
2017,25025,"Suffolk County, MA",0.9,14,1,0.069,8.8,11,7297,68836.3353638615
2017,26163,"Wayne County, MI",1.8,16,3,0.076,11.2,26,7271.21,47124.4004365216
2017,27003,"Anoka County, MN",0.8,6,1,0.063,7.9,13,7319.84,82497.425995475
2017,27053,"Hennepin County, MN",4.4,13,1,0.058,7.7,41,8115.94,77773.7216535467
2017,29510,"St. Louis City, MO",1.4,11,2,0.069,9.1,27,6083.23,42633.2829941848
2017,32003,"Clark County, NV",2.8,27,1,0.076,8.3,29,6001.39,59676.7920803961
2017,32031,"Washoe County, NV",2.2,13,0,0.069,8,23,5515.55,64150.1786828538
2017,33015,"Rockingham County, NH",0.5,3,1,0.068,5.3,10,9526.06,92877.2682588601
2017,34007,"Camden County, NJ",1.4,12,0,0.076,9.3,20,7433.63,68646.5110780962
2017,34013,"Essex County, NJ",1.4,15,0,0.064,8.6,14,6342.07,62875.6441927155
2017,34017,"Hudson County, NJ",1.1,20,0,0.067,8.1,15,5465.81,68496.3204344138
2017,35001,"Bernalillo County, NM",1,10,0,0.071,6.3,35,6691.18,53287.4317804065
2017,36005,"Bronx County, NY",1.2,17,1,0.069,8,13,8759.53,38983.8589508182
2017,36029,"Erie County, NY",1,10,0,0.066,7.4,15,7017.2,57970.4594896709
2017,36055,"Monroe County, NY",0.8,9,0,0.067,6.7,11,6525.63,60138.8369078358
2017,36081,"Queens County, NY",1.1,15,1,0.079,7.1,12,8090.03,66799.3747589187
2017,37183,"Wake County, NC",1.2,9,0,0.066,8.5,14,7477.4,80978.8317093528
2017,38015,"Burleigh County, ND",0.6,5,1,0.059,6.6,22,7575.03,73087.5649725389
2017,39035,"Cuyahoga County, OH",3.3,11,1,0.069,11.2,30,8421.31,48935.0320853597
2017,39049,"Franklin County, OH",1.6,11,0,0.07,8.8,22,7058.58,61759.6442709086
2017,39061,"Hamilton County, OH",1.2,20,1,0.072,10.9,18,7147.13,57550.1342854763
2017,40109,"Oklahoma County, OK",1.3,16,0,0.071,7.1,19,6997.63,53598.2429735826
2017,40143,"Tulsa County, OK",1,7,1,0.065,7.8,17,7197.72,54839.4017651249
2017,41051,"Multnomah County, OR",1.1,9,0,0.068,7.9,15,6374.25,66320.642082181
2017,42003,"Allegheny County, PA",3.7,10,4,0.072,14.8,24,7724.93,61063.9695532963
2017,42021,"Cambria County, PA",0.6,6,0,0.062,11.8,11,6691.1,47984.8676659522
2017,42101,"Philadelphia County, PA",2.6,11,1,0.076,10,22,6988.33,41920.9204272744
2017,44007,"Providence County, RI",1.6,18,0,0.076,8.3,15,6920.96,58248.937974832
2017,46099,"Minnehaha County, SD",0.7,4,1,0.066,7.4,17,8005.13,63812.2497345683
2017,47037,"Davidson County, TN",1.5,14,0,0.064,9.7,15,6678.07,60768.8032188371
2017,48029,"Bexar County, TX",1.1,8,2,0.073,8.9,21,5852.81,56491.4988456315
2017,48141,"El Paso County, TX",2.6,10,1,0.075,9.3,29,4639.42,46016.7444393638
2017,48201,"Harris County, TX",1.9,14,0,0.077,10.4,27,6270.23,61185.9994512882
2017,50007,"Chittenden County, VT",0.6,6,0,0.06,3.9,6,8143.76,68681.9727578546
2017,50021,"Rutland County, VT",0.7,6,0,0.063,6.4,13,9386.28,55791.6521656946
2017,51059,"Fairfax County, VA",1.1,15,0,0.068,6.9,13,7027.27,123061.415676702
2017,51087,"Henrico County, VA",0.8,8,0,0.067,7.6,13,8221.25,70333.0268477801
2017,51650,"Hampton City, VA",0.6,4,0,0.064,6.4,10,5887.6,55167.9437981801
2017,55079,"Milwaukee County, WI",0.5,14,0,0.07,8.6,14,7984.57,49849.7348250089
2017,56021,"Laramie County, WY",0.7,4,0,0.065,5.5,12,7330.56,64308.7132511852
2018,1073,"Jefferson County, AL",1.3,11,3,0.069,10.3,21,7344.6,56009.9511287029
2018,2090,"Fairbanks North Star Borough, AK",2,12,6,0.041,10.6,15,7090.19,75613.8921786942
2018,4013,"Maricopa County, AZ",2.9,28,1,0.076,9.8,57,6322.88,66416.1771204952
2018,4019,"Pima County, AZ",0.9,8,0,0.07,5.9,43,6675.75,54362.6295696852
2018,5119,"Pulaski County, AR",0.8,7,1,0.067,10.3,19,7224.03,50862.3257872977
2018,6013,"Contra Costa County, CA",1.9,8,1,0.064,13.4,21,8095.75,103301.722708661
2018,6019,"Fresno County, CA",1.8,21,1,0.088,17.1,45,5439.29,53266.1120671746
2018,6023,"Humboldt County, CA",0.8,2,0,0.049,7.1,17,6723.43,50367.5184463319
2018,6037,"Los Angeles County, CA",3.1,22,1,0.102,13.4,33,6804.8,69218.0491417664
2018,6065,"Riverside County, CA",1.5,14,0,0.1,15.2,52,7464.56,68003.4294755685
2018,6067,"Sacramento County, CA",3.6,12,0,0.079,12.8,25,6450.32,70734.032949787
2018,6071,"San Bernardino County, CA",1.3,30,1,0.111,17.6,35,5908.2,64457.3101986472
2018,6073,"San Diego County, CA",1.3,15,0,0.08,10,26,7797.1,80204.6047309877
2018,6083,"Santa Barbara County, CA",0.8,6,0,0.063,8.6,25,6885.32,77016.8644335313
2018,6085,"Santa Clara County, CA",2.2,17,0,0.065,12.9,22,7420.68,128215.170514077
2018,8001,"Adams County, CO",1.7,16,1,0.069,10.2,36,6804.61,71471.1533507319
2018,8031,"Denver County, CO",2.9,27,1,0.072,9.2,30,6804.61,69302.5532761288
2018,9001,"Fairfield County, CT",1.4,9,0,0.086,6.9,14,8555.3,92835.4275129244
2018,9009,"New Haven County, CT",1.2,12,0,0.077,6.8,14,8703.6,68947.2286629662
2018,11001,"District of Columbia",1.9,13,1,0.073,9.5,16,11816.75,84028.6713414144
2018,12011,"Broward County, FL",1.1,15,0,0.066,6.4,16,7423.8,58236.5841630488
2018,12031,"Duval County, FL",1.2,11,1,0.061,8.7,18,6530.5,56742.9990412447
2018,12057,"Hillsborough County, FL",0.9,10,1,0.07,6.9,23,6170.34,59418.6239220226
2018,12095,"Orange County, FL",1,5,0,0.063,6.8,12,5783.46,59088.7523613787
2018,12103,"Pinellas County, FL",0.8,9,1,0.067,6.8,22,8190.37,53172.4448339054
2018,13089,"DeKalb County, GA",1.2,15,0,0.067,8,17,5985.83,64627.3365894729
2018,13121,"Fulton County, GA",1.6,16,1,0.072,9.2,15,6802.86,72091.1897100902
2018,15003,"Honolulu County, HI",2.5,4,1,0.049,4.3,14,7084.49,85211.729222489
2018,17031,"Cook County, IL",0.9,18,2,0.084,11.2,14,6792.53,64494.980716375
2018,18089,"Lake County, IN",1.6,10,2,0.071,10.7,23,8434.69,56281.7897296038
2018,18097,"Marion County, IN",2.2,14,0,0.076,10.9,26,7010.97,49286.2727753327
2018,18163,"Vanderburgh County, IN",0.9,8,0,0.068,9.3,16,7356.72,51415.1660880064
2018,19153,"Polk County, IA",0.8,7,0,0.065,8,18,8042.73,69719.9833374374
2018,19163,"Scott County, IA",0.7,6,1,0.071,8.8,39,7520.38,60949.8795615545
2018,22033,"East Baton Rouge Parish, LA",1.7,10,1,0.074,10.3,27,7912.78,53904.4746243465
2018,23003,"Aroostook County, ME",0.6,2,0,0.055,8.3,18,7188.8,40164.9168746901
2018,24033,"Prince George's County, MD",0.7,6,0,0.073,6.5,9,7281,83939.0765965482
2018,26163,"Wayne County, MI",2.4,16,2,0.074,11.9,29,7163.7,47281.5903589508
2018,29510,"St. Louis City, MO",1.3,11,1,0.077,9.6,25,6054.88,44047.0164448598
2018,32031,"Washoe County, NV",1.6,13,0,0.078,8,23,5587.37,64789.2180034925
2018,33015,"Rockingham County, NH",0.4,3,1,0.069,5.2,9,9766.84,95342.0441249774
2018,34013,"Essex County, NJ",1.7,14,0,0.071,8.6,13,6273.18,64014.4270848198
2018,34017,"Hudson County, NJ",1.6,19,1,0.078,8.1,15,5332.01,74666.0205028935
2018,35001,"Bernalillo County, NM",1,10,1,0.075,7.3,40,6618.03,52302.9685598626
2018,36005,"Bronx County, NY",1.2,17,1,0.077,8.3,14,8642.55,39264.8969376248
2018,36029,"Erie County, NY",0.7,10,0,0.069,7.6,14,7020.24,57396.6334299279
2018,36055,"Monroe County, NY",0.8,9,0,0.071,7.3,11,6607.58,61331.6753493367
2018,36081,"Queens County, NY",1.5,16,0,0.073,8.3,12,8067.43,69672.131598702
2018,37119,"Mecklenburg County, NC",1.3,10,0,0.07,8.4,15,6740.32,65678.0385974496
2018,37183,"Wake County, NC",0.9,9,0,0.063,7.9,14,7292.17,81621.8306952353
2018,38015,"Burleigh County, ND",0.4,5,0,0.058,7.5,20,7828.7,73586.8110760958
2018,39035,"Cuyahoga County, OH",3.1,11,1,0.075,11.1,30,8313.08,50912.2137702346
2018,39061,"Hamilton County, OH",1.7,19,1,0.08,10.6,17,7374.73,58338.3963731241
2018,40109,"Oklahoma County, OK",1.6,13,0,0.072,8.4,22,6918.74,53294.6194859957
2018,40143,"Tulsa County, OK",1,7,1,0.073,10.4,19,7151.98,56807.1407335921
2018,41051,"Multnomah County, OR",1.6,9,0,0.067,7.4,12,6559.74,72038.2473608511
2018,42003,"Allegheny County, PA",3.2,10,4,0.074,11.7,22,7785.92,60966.1695151665
2018,44007,"Providence County, RI",1.5,17,0,0.079,8.9,11,6718.78,57158.3928583518
2018,46099,"Minnehaha County, SD",0.5,5,0,0.069,7.6,13,7976.27,61120.9240744809
2018,47157,"Shelby County, TN",0.9,10,0,0.073,9,15,6169.87,48792.4835564677
2018,48201,"Harris County, TX",1.5,12,0,0.088,11,32,6257.07,61332.6934714375
2018,48453,"Travis County, TX",1.3,12,0,0.072,10.2,23,5624.42,77636.9007928896
2018,50007,"Chittenden County, VT",0.6,6,0,0.062,5.5,6,8058.76,75585.3847598731
